label,manifestUrl,projectId,size,progress,attribution,thumbnail
ぎやどぺかどる,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ecd1285a-42b6-4541-b640-1067b2f9fde0/manifest,kirishitan,191,12,東京大学総合図書館 / General Library in the University of Tokyo,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/26e8b61f27c184512f0457a548b7c27743203c31.jpg
Barb.or.153.pt.A,https://digi.vatlib.it/iiif/MSS_Barb.or.153.pt.A/manifest.json,kirishitan,202,1,Images Copyright Biblioteca Apostolica Vaticana,https://digi.vatlib.it/pub/digit/MSS_Barb.or.153.pt.A/cover/cover.jpg
鬼理至端破却論伝,https://www.dh-jac.net/db1/books/nakai3604-01/portal/manifest.json,kirishitan,24,,中井文庫,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/PVT/nakai/Books/nakai3604/nakai3604-01/nakai3604-01_001.jpg
切支丹御退治記 49巻. [9],https://www.dl.ndl.go.jp/api/iiif/2593103/manifest.json,kirishitan,119,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2593103/T0000001/full/full/0/default.jpg
Luis, de Granada, 1504-1588.  [Symbolo da fee. Traduzido em lingoajem japonica por alguns padres e irmaos da nossa companhia.]  Nagasaqui, ex officina Goto Thomae Soin, typographi Societatis Iesu..., 1611.  Typ 684.11.435.  Houghton Library, Harvard University, Cambridge, Mass.,https://iiif.lib.harvard.edu/manifests/drs:28470156,kirishitan,202,2,,https://ids.lib.harvard.edu/ids/iiif/28470359/full/,150/0/default.jpg
切支丹御退治記 49巻. [4],https://www.dl.ndl.go.jp/api/iiif/2593098/manifest.json,kirishitan,114,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2593098/T0000001/full/full/0/default.jpg
吉利支丹退治物語. 上,https://www.dl.ndl.go.jp/api/iiif/1187535/manifest.json,kirishitan,13,13,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/1187535/T0000001/full/full/0/default.jpg
南蛮寺興廃記,https://www.dh-jac.net/db1/books/Cam-FJ.938.06/portal/manifest.json,kirishitan,48,,Cambridge University Library,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Cambridge/books/FJ.938.06/FJ.938.06_001.jpg
切支丹興廃録,https://www.dh-jac.net/db1/books/MMT0181/portal/manifest.json,kirishitan,34,,UPS Marega,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/marega/MMT0181/MMT0181_01(P).jpg
切支丹御退治記 49巻. [3],https://www.dl.ndl.go.jp/api/iiif/2593097/manifest.json,kirishitan,90,16,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2593097/T0000001/full/full/0/default.jpg
 ,https://kotenseki.nijl.ac.jp/biblio/100309502/manifest,kirishitan,50,0,筑波大学附属図書館 国文学研究資料館,https://kokusho.nijl.ac.jp/api/iiif/100309502/v4/TSDT/TSDT-10548/TSDT-10548-00000.tif/full/400,/0/default.jpg
切支丹御退治記 49巻. [2],https://www.dl.ndl.go.jp/api/iiif/2593096/manifest.json,kirishitan,119,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2593096/T0000001/full/full/0/default.jpg
