label,manifestUrl,projectId,size,progress,attribution,thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 189,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53142064p/manifest.json,galica,20,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b53142064p.thumbnail
BnF. Département des Manuscrits. Japonais 5309,https://gallica.bnf.fr/iiif/ark:/12148/btv1b531420743/manifest.json,galica,104,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b531420743.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 136 (5),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105154318/manifest.json,galica,16,2,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105154318.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 249,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105083930/manifest.json,galica,52,52,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105083930.thumbnail
BnF. Département des manuscrits. Smith-Lesouëf K 18 Japonais,https://gallica.bnf.fr/iiif/ark:/12148/btv1b530546815/manifest.json,galica,14,14,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b530546815.thumbnail
BnF. Département des manuscrits. Japonais 216 (3),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10526090f/manifest.json,galica,29,29,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10526090f.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 256 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105083718/manifest.json,galica,51,51,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105083718.thumbnail
BnF. Département des manuscrits. Japonais 396,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000398f/manifest.json,galica,987,3,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b6000398f.thumbnail
BnF. Département des manuscrits. Japonais 319,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53084168h/manifest.json,galica,2,1,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b53084168h.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf K 5 Japonais,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8593576k/manifest.json,galica,12,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8593576k.thumbnail
BnF. Département des manuscrits. Japonais 341,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/manifest.json,galica,86,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10510999h.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf K 24 Japonais,https://gallica.bnf.fr/iiif/ark:/12148/btv1b85935755/manifest.json,galica,14,8,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b85935755.thumbnail
BnF. Département des Manuscrits. Japonais 316,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509306z/manifest.json,galica,135,134,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10509306z.thumbnail
BnF. Département des manuscrits. Japonais 4670,https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/manifest.json,galica,83,83,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b530148216.thumbnail
BnF. Département des Manuscrits. Japonais 4260 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b8304423f/manifest.json,galica,28,28,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8304423f.thumbnail
BnF. Département des Manuscrits. Japonais 1241,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014818x/manifest.json,galica,23,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b53014818x.thumbnail
BnF. Département des manuscrits. Japonais 5609,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10502092b/manifest.json,galica,116,116,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10502092b.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 256 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508370t/manifest.json,galica,44,44,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508370t.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 188,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508703s/manifest.json,galica,30,7,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508703s.thumbnail
BnF. Département des Manuscrits. Japonais 148 : 巻1-6, manque 巻5,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105202493/manifest.json,galica,197,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105202493.thumbnail
BnF. Département des manuscrits. Japonais 630,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500682h/manifest.json,galica,26,1,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10500682h.thumbnail
BnF. Département des manuscrits. Smith-Lesouëf Japonais 187,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105286031/manifest.json,galica,22,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105286031.thumbnail
BnF. Département des Manuscrits. Japonais 315,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508008c/manifest.json,galica,176,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508008c.thumbnail
BnF. Département des manuscrits. Smith-Lesouëf Japonais K 44 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b8305791m/manifest.json,galica,23,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8305791m.thumbnail
BnF. Département des Manuscrits. Japonais 376,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508002p/manifest.json,galica,290,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508002p.thumbnail
BnF. Département des Manuscrits. Japonais 5630 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512765d/manifest.json,galica,94,94,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10512765d.thumbnail
BnF. Département des Manuscrits. Japonais 4322 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b83044258/manifest.json,galica,31,29,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b83044258.thumbnail
BnF. Département des manuscrits. Japonais 212 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10525889r/manifest.json,galica,37,9,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10525889r.thumbnail
BnF. Département des manuscrits. Smith-Lesouëf Japonais K 15,https://gallica.bnf.fr/iiif/ark:/12148/btv1b530546743/manifest.json,galica,20,1,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b530546743.thumbnail
BnF. Département des Manuscrits. Japonais 4322 (3),https://gallica.bnf.fr/iiif/ark:/12148/btv1b8304426p/manifest.json,galica,27,27,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8304426p.thumbnail
BnF. Département des Manuscrits. Japonais 215,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105258815/manifest.json,galica,30,16,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105258815.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 57,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10525927r/manifest.json,galica,27,1,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10525927r.thumbnail
BnF. Département des manuscrits. Japonais 394,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000396m/manifest.json,galica,835,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b6000396m.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 52 (7),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508714n/manifest.json,galica,30,30,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508714n.thumbnail
BnF. Département des Manuscrits. Japonais 211 A (3),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105259447/manifest.json,galica,32,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105259447.thumbnail
BnF. Département des manuscrits. Japonais 5629 (3),https://gallica.bnf.fr/iiif/ark:/12148/btv1b85302210/manifest.json,galica,64,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b85302210.thumbnail
BnF. Département des manuscrits. Smith-Lesouëf Japonais K 40,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53054661b/manifest.json,galica,8,5,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b53054661b.thumbnail
BnF. Département des Manuscrits. Japonais 645,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10502093s/manifest.json,galica,104,104,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10502093s.thumbnail
BnF. Département des manuscrits. Japonais 365,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105127679/manifest.json,galica,140,135,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105127679.thumbnail
BnF. Département des manuscrits. Smith-Lesouëf Japonais K 35,https://gallica.bnf.fr/iiif/ark:/12148/btv1b530546760/manifest.json,galica,5,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b530546760.thumbnail
BnF. Département des manuscrits. Japonais 5341 (8),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105351773/manifest.json,galica,1,1,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105351773.thumbnail
BnF. Département des manuscrits. 4° M 4 bis,https://gallica.bnf.fr/iiif/ark:/12148/btv1b103297555/manifest.json,galica,13,13,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b103297555.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 52 (5),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508716j/manifest.json,galica,30,30,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508716j.thumbnail
BnF. Département des Manuscrits. Japonais 5333,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105020339/manifest.json,galica,96,96,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105020339.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 52 (8),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105087136/manifest.json,galica,30,30,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105087136.thumbnail
BnF. Département des manuscrits. Japonais 620,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511048x/manifest.json,galica,64,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10511048x.thumbnail
BnF. Département des Manuscrits,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10535169k/manifest.json,galica,22,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10535169k.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 52 (10),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105087119/manifest.json,galica,30,30,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105087119.thumbnail
BnF. Département des manuscrits. Japonais 212 (3),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10525893g/manifest.json,galica,21,4,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10525893g.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 9,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014835d/manifest.json,galica,26,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b53014835d.thumbnail
BnF. Département des manuscrits. Japonais 212 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10525891k/manifest.json,galica,17,9,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10525891k.thumbnail
. Japonais 633 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000286w/manifest.json,galica,15,15,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b6000286w.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 182,https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148144/manifest.json,galica,48,1,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b530148144.thumbnail
BnF. Département des Manuscrits. Japonais 146,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500015p/manifest.json,galica,44,41,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10500015p.thumbnail
BnF. Département des Manuscrits. Japonais 5340 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10525832j/manifest.json,galica,92,91,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10525832j.thumbnail
BnF. Département des Manuscrits. Japonais 313 (3),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10502049d/manifest.json,galica,140,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10502049d.thumbnail
BnF. Département des Manuscrits. Japonais 267,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10520252c/manifest.json,galica,70,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10520252c.thumbnail
BnF. Département des Manuscrits. Japonais 389,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000523d/manifest.json,galica,17,17,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b6000523d.thumbnail
BnF. Département des manuscrits. Japonais 603 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105083680/manifest.json,galica,37,32,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105083680.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 237 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508388t/manifest.json,galica,63,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508388t.thumbnail
BnF. Département des Manuscrits. Japonais 5345 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000574q/manifest.json,galica,36,35,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b6000574q.thumbnail
BnF. Département des manuscrits. Japonais 4651,https://gallica.bnf.fr/iiif/ark:/12148/btv1b531420548/manifest.json,galica,40,40,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b531420548.thumbnail
BnF. Département des Manuscrits. Japonais 5343,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000964q/manifest.json,galica,13,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b6000964q.thumbnail
BnF. Département des Manuscrits. Japonais 4322 (3),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10091919n/manifest.json,galica,49,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10091919n.thumbnail
BnF. Département des manuscrits. Japonais 5631 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512761m/manifest.json,galica,78,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10512761m.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 251,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508390n/manifest.json,galica,86,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508390n.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 110,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8530211m/manifest.json,galica,88,2,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8530211m.thumbnail
BnF. Département des manuscrits. Japonais 160,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10523269z/manifest.json,galica,42,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10523269z.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 136 (4),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/manifest.json,galica,16,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10515398h.thumbnail
BnF. Département des manuscrits. Japonais 211 A (4),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105259464/manifest.json,galica,33,1,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105259464.thumbnail
BnF. Département des manuscrits. Japonais 615 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510298d/manifest.json,galica,45,8,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10510298d.thumbnail
BnF. Département des manuscrits. 4° M 4,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329754q/manifest.json,galica,110,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10329754q.thumbnail
BnF. Département des Manuscrits. Japonais 265,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105202637/manifest.json,galica,264,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105202637.thumbnail
BnF. Département des Manuscrits. Japonais 375,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105080034/manifest.json,galica,586,15,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105080034.thumbnail
BnF. Département des manuscrits. Japonais 5332,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53054673n/manifest.json,galica,26,16,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b53054673n.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 194,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10525368k/manifest.json,galica,20,20,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10525368k.thumbnail
BnF. Département des Manuscrits. Japonais 5329,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53054660w/manifest.json,galica,13,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b53054660w.thumbnail
BnF. Département des Manuscrits. Japonais 4606 (3),https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596860p/manifest.json,galica,27,27,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8596860p.thumbnail
BnF. Département des manuscrits. Japonais 345 (3),https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000280d/manifest.json,galica,128,12,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b6000280d.thumbnail
BnF. Département des Manuscrits. Japonais 5331 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b8304429x/manifest.json,galica,24,23,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8304429x.thumbnail
BnF. Département des manuscrits. Smith-Lesouëf Japonais K 27,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508709g/manifest.json,galica,27,27,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508709g.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf K 43 Japonais,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8593573b/manifest.json,galica,3,3,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8593573b.thumbnail
BnF. Département des manuscrits. Japonais 210 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10525885z/manifest.json,galica,36,36,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10525885z.thumbnail
BnF. Département des Manuscrits. Japonais 261,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10501684r/manifest.json,galica,27,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10501684r.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 52 (6),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105087153/manifest.json,galica,30,30,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105087153.thumbnail
BnF. Département des manuscrits. Japonais 654,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105083646/manifest.json,galica,47,18,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105083646.thumbnail
BnF. Département des Manuscrits. Japonais 311 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510433f/manifest.json,galica,171,171,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10510433f.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 177 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b8304438w/manifest.json,galica,31,29,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8304438w.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 237 (6),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105083841/manifest.json,galica,46,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105083841.thumbnail
BnF. Département des manuscrits. Japonais 215 A (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105260769/manifest.json,galica,34,31,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105260769.thumbnail
BnF. Département des manuscrits. Japonais 139,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10520266k/manifest.json,galica,562,45,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10520266k.thumbnail
BnF. Département des manuscrits. Japonais 5631 (6),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512773x/manifest.json,galica,92,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10512773x.thumbnail
BnF. Département des manuscrits. Japonais 339,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509010j/manifest.json,galica,33,29,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10509010j.thumbnail
BnF. Département des manuscrits. Japonais 5341 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10535170z/manifest.json,galica,1,1,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10535170z.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 112,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53014811s/manifest.json,galica,25,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b53014811s.thumbnail
BnF. Département des manuscrits. Japonais 347,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509062h/manifest.json,galica,148,148,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10509062h.thumbnail
BnF. Département des manuscrits. Japonais 626 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10511047g/manifest.json,galica,86,86,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10511047g.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 128 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10525767n/manifest.json,galica,32,4,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10525767n.thumbnail
BnF. Département des Manuscrits. Japonais 219 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105257738/manifest.json,galica,25,25,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105257738.thumbnail
BnF. Département des manuscrits. Japonais 5610,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10506231j/manifest.json,galica,172,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10506231j.thumbnail
BnF. Département des manuscrits. Japonais 358,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512759s/manifest.json,galica,82,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10512759s.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf japonais 165,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509026n/manifest.json,galica,35,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10509026n.thumbnail
BnF. Département des manuscrits. Japonais 5341 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10535171d/manifest.json,galica,1,1,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10535171d.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 52 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508710v/manifest.json,galica,30,30,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508710v.thumbnail
BnF. Département des manuscrits. Smith-Lesouëf Japonais 169,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10527881v/manifest.json,galica,64,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10527881v.thumbnail
BnF. Département des manuscrits. Japonais 159,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8470421j/manifest.json,galica,94,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b8470421j.thumbnail
