id	label	manifestUrl	projectId	size	progress	attribution	thumbnail
5B83C1EE245992DE3335B493E5ACBF2A	有毒草木図説 2巻. [1]	https://www.dl.ndl.go.jp/api/iiif/2556216/manifest.json	zukan	44	44	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2556216/T0000001/full/full/0/default.jpg
5D29C3B3C91FFAD40773DF51DB118B57	千蟲譜 3巻. [1]	https://www.dl.ndl.go.jp/api/iiif/2576061/manifest.json	zukan	98	98	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2576061/T0000001/full/full/0/default.jpg
61FF3C42BCD2925A5DC1EA21CA34844A	草木奇品家雅見 3巻. [3]	https://www.dl.ndl.go.jp/api/iiif/2558234/manifest.json	zukan	44	29	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2558234/T0000001/full/full/0/default.jpg
626B4EB96F593698B19D761C18E259B2	潮干のつと	https://www.dl.ndl.go.jp/api/iiif/1288344/manifest.json	zukan	12	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1288344/T0000001/full/full/0/default.jpg
637D824992047653CF917CA5EB565F2C	鯨史稿 6巻. [1]	https://www.dl.ndl.go.jp/api/iiif/2575475/manifest.json	zukan	87	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2575475/T0000001/full/full/0/default.jpg
654B6D474C474413A033BB928E5AB94C	梅園草木花譜夏之部. 1	https://www.dl.ndl.go.jp/api/iiif/1286769/manifest.json	zukan	54	50	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1286769/T0000001/full/full/0/default.jpg
65B68349D8E6D6E3A06997D5C0447CFC	絵本百千鳥. 2	https://www.dl.ndl.go.jp/api/iiif/8943230/manifest.json	zukan	11	1	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/8943230/T0000001/full/full/0/default.jpg
6614155FCA64AC3F259AF20C6462C581	草木性譜 3巻. [1]	https://www.dl.ndl.go.jp/api/iiif/2555814/manifest.json	zukan	38	6	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2555814/T0000001/full/full/0/default.jpg
66FA0D370804D47585B92C9BED13F8EC	虫譜図説 12巻. [4]	https://www.dl.ndl.go.jp/api/iiif/2553452/manifest.json	zukan	72	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2553452/T0000001/full/full/0/default.jpg
68D4E696208F4EFAB04A748D973A10E6	花菖培養録	https://www.dl.ndl.go.jp/api/iiif/2536396/manifest.json	zukan	33	33	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2536396/T0000001/full/full/0/default.jpg
699816309D0100F7985EC8CC2DD50754	誹諧名知折 2巻. [1]	https://www.dl.ndl.go.jp/api/iiif/2556796/manifest.json	zukan	23	6	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2556796/T0000001/full/full/0/default.jpg
6A2F045FAC11ADF601DD981BD9D65A47	本草図譜. 巻52-54	https://www.dl.ndl.go.jp/api/iiif/2550791/manifest.json	zukan	74	73	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550791/T0000001/full/full/0/default.jpg
6A4B65D535B2FC9773F5D1565FCF1971	花彙 草部4巻木部4巻. [2]	https://www.dl.ndl.go.jp/api/iiif/2555608/manifest.json	zukan	112	112	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2555608/T0000001/full/full/0/default.jpg
6B7386E3ED89FFBEE7D6516FF4F0D876	怡顔斎菌品 2巻	https://www.dl.ndl.go.jp/api/iiif/2536362/manifest.json	zukan	43	38	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2536362/T0000001/full/full/0/default.jpg
6BFA0FA140ACC2900D46616F2DE8ECCE	龍乃宮津子	https://www.dl.ndl.go.jp/api/iiif/8929636/manifest.json	zukan	36	33	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/8929636/T0000001/full/full/0/default.jpg
6FCA16A11F342D1FF1E3BB6C4DCDBEE0	花壇朝顔通 2巻. [1]	https://www.dl.ndl.go.jp/api/iiif/2557561/manifest.json	zukan	33	33	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2557561/T0000001/full/full/0/default.jpg
718459BC0157713891CCE4FB2714FA19	怡顔斎梅品 2巻. [2]	https://www.dl.ndl.go.jp/api/iiif/2557788/manifest.json	zukan	46	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2557788/T0000001/full/full/0/default.jpg
72A2228D5185947A9B1FF2D2F52ED784	水族四帖. 冬	https://www.dl.ndl.go.jp/api/iiif/1287130/manifest.json	zukan	69	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287130/T0000001/full/full/0/default.jpg
7352426F286499D000F2E08DA743256E	錦繍枕 5巻. [2]	https://www.dl.ndl.go.jp/api/iiif/2557566/manifest.json	zukan	28	27	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2557566/T0000001/full/full/0/default.jpg
7392B28B00A4C52D1766A2E1B06E566B	本草図譜. 巻46-48	https://www.dl.ndl.go.jp/api/iiif/2550789/manifest.json	zukan	91	91	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550789/T0000001/full/full/0/default.jpg
